event,begin,end
Champions_League,2017-07-19 19:30:00,2017-07-19 21:15:00
Champions_League,2017-07-19 19:30:00,2017-07-19 21:15:00
Champions_League,2017-07-19 20:00:00,2017-07-19 21:45:00
Champions_League,2017-07-19 20:15:00,2017-07-19 22:00:00
Champions_League,2017-07-19 20:30:00,2017-07-19 22:15:00
Champions_League,2017-07-19 20:45:00,2017-07-19 22:30:00
Champions_League,2017-07-19 20:45:00,2017-07-19 22:30:00
Champions_League,2017-07-19 21:15:00,2017-07-19 23:00:00
Champions_League,2017-07-25 19:00:00,2017-07-25 20:45:00
Champions_League,2017-07-25 19:00:00,2017-07-25 20:45:00
Champions_League,2017-07-25 19:30:00,2017-07-25 21:15:00
Champions_League,2017-07-25 19:30:00,2017-07-25 21:15:00
Champions_League,2017-07-25 20:00:00,2017-07-25 21:45:00
Champions_League,2017-07-25 20:45:00,2017-07-25 22:30:00
Champions_League,2017-07-26 16:00:00,2017-07-26 17:45:00
Champions_League,2017-07-26 18:30:00,2017-07-26 20:15:00
Champions_League,2017-07-26 18:45:00,2017-07-26 20:30:00
Champions_League,2017-07-26 19:00:00,2017-07-26 20:45:00
Champions_League,2017-07-26 20:00:00,2017-07-26 21:45:00
Champions_League,2017-07-26 20:20:00,2017-07-26 22:05:00
Champions_League,2017-07-26 20:45:00,2017-07-26 22:30:00
Champions_League,2017-07-26 20:45:00,2017-07-26 22:30:00
Champions_League,2017-07-26 21:00:00,2017-07-26 22:45:00
Champions_League,2017-08-01 19:00:00,2017-08-01 20:45:00
Champions_League,2017-08-02 19:00:00,2017-08-02 20:45:00
Champions_League,2017-08-02 19:00:00,2017-08-02 20:45:00
Champions_League,2017-08-02 19:00:00,2017-08-02 20:45:00
Champions_League,2017-08-02 19:45:00,2017-08-02 21:30:00
Champions_League,2017-08-02 20:00:00,2017-08-02 21:45:00
Champions_League,2017-08-02 20:15:00,2017-08-02 22:00:00
Champions_League,2017-08-02 20:15:00,2017-08-02 22:00:00
Champions_League,2017-08-02 20:30:00,2017-08-02 22:15:00
Champions_League,2017-08-02 20:30:00,2017-08-02 22:15:00
Champions_League,2017-08-02 20:45:00,2017-08-02 22:30:00
Champions_League,2017-08-02 20:45:00,2017-08-02 22:30:00
Champions_League,2017-08-02 20:45:00,2017-08-02 22:30:00
Champions_League,2017-08-02 20:45:00,2017-08-02 22:30:00
Champions_League,2017-08-02 20:45:00,2017-08-02 22:30:00
Champions_League,2017-08-15 18:00:00,2017-08-15 19:45:00
Champions_League,2017-08-15 20:45:00,2017-08-15 22:30:00
Champions_League,2017-08-15 20:45:00,2017-08-15 22:30:00
Champions_League,2017-08-15 20:45:00,2017-08-15 22:30:00
Champions_League,2017-08-15 20:45:00,2017-08-15 22:30:00
Champions_League,2017-08-16 20:45:00,2017-08-16 22:30:00
Champions_League,2017-08-16 20:45:00,2017-08-16 22:30:00
Champions_League,2017-08-16 20:45:00,2017-08-16 22:30:00
Champions_League,2017-08-16 20:45:00,2017-08-16 22:30:00
Champions_League,2017-08-16 20:45:00,2017-08-16 22:30:00
Champions_League,2017-08-22 17:30:00,2017-08-22 19:15:00
Champions_League,2017-08-22 20:45:00,2017-08-22 22:30:00
